,job_gains_private
1/31/2001,3001.33
2/28/2001,3001.33
3/31/2001,3001.33
4/30/2001,2813
5/31/2001,2813
6/30/2001,2813
7/31/2001,2855.33
8/31/2001,2855.33
9/30/2001,2855.33
10/31/2001,2781.67
11/30/2001,2781.67
12/31/2001,2781.67
1/31/2002,2886.33
2/28/2002,2886.33
3/31/2002,2886.33
4/30/2002,2653.67
5/31/2002,2653.67
6/30/2002,2653.67
7/31/2002,2556
8/31/2002,2556
9/30/2002,2556
10/31/2002,2515.33
11/30/2002,2515.33
12/31/2002,2515.33
1/31/2003,2741.67
2/28/2003,2741.67
3/31/2003,2741.67
4/30/2003,2614.67
5/31/2003,2614.67
6/30/2003,2614.67
7/31/2003,2560.33
8/31/2003,2560.33
9/30/2003,2560.33
10/31/2003,2495.33
11/30/2003,2495.33
12/31/2003,2495.33
1/31/2004,2542
2/29/2004,2542
3/31/2004,2542
4/30/2004,2460.33
5/31/2004,2460.33
6/30/2004,2460.33
7/31/2004,2478
8/31/2004,2478
9/30/2004,2478
10/31/2004,2510.33
11/30/2004,2510.33
12/31/2004,2510.33
1/31/2005,2623.33
2/28/2005,2623.33
3/31/2005,2623.33
4/30/2005,2574
5/31/2005,2574
6/30/2005,2574
7/31/2005,2561
8/31/2005,2561
9/30/2005,2561
10/31/2005,2616
11/30/2005,2616
12/31/2005,2616
1/31/2006,2593
2/28/2006,2593
3/31/2006,2593
4/30/2006,2584.33
5/31/2006,2584.33
6/30/2006,2584.33
7/31/2006,2674.33
8/31/2006,2674.33
9/30/2006,2674.33
10/31/2006,2604
11/30/2006,2604
12/31/2006,2604
1/31/2007,2626.67
2/28/2007,2626.67
3/31/2007,2626.67
4/30/2007,2588.67
5/31/2007,2588.67
6/30/2007,2588.67
7/31/2007,2515
8/31/2007,2515
9/30/2007,2515
10/31/2007,2590
11/30/2007,2590
12/31/2007,2590
1/31/2008,2605
2/29/2008,2605
3/31/2008,2605
4/30/2008,2549
5/31/2008,2549
6/30/2008,2549
7/31/2008,2458.67
8/31/2008,2458.67
9/30/2008,2458.67
10/31/2008,2562.33
11/30/2008,2562.33
12/31/2008,2562.33
1/31/2009,2440
2/28/2009,2440
3/31/2009,2440
4/30/2009,2427
5/31/2009,2427
6/30/2009,2427
7/31/2009,2314.67
8/31/2009,2314.67
9/30/2009,2314.67
10/31/2009,2246
11/30/2009,2246
12/31/2009,2246
1/31/2010,1972.67
2/28/2010,1972.67
3/31/2010,1972.67
4/30/2010,2141.67
5/31/2010,2141.67
6/30/2010,2141.67
7/31/2010,2133
8/31/2010,2133
9/30/2010,2133
10/31/2010,2221.67
11/30/2010,2221.67
12/31/2010,2221.67
1/31/2011,2108.33
2/28/2011,2108.33
3/31/2011,2108.33
4/30/2011,2331.67
5/31/2011,2331.67
6/30/2011,2331.67
7/31/2011,2247
8/31/2011,2247
9/30/2011,2247
10/31/2011,2350.67
11/30/2011,2350.67
12/31/2011,2350.67
1/31/2012,2180
2/29/2012,2180
3/31/2012,2180
4/30/2012,2322
5/31/2012,2322
6/30/2012,2322
7/31/2012,2401.67
8/31/2012,2401.67
9/30/2012,2401.67
10/31/2012,2288.33
11/30/2012,2288.33
12/31/2012,2288.33
1/31/2013,2360
2/28/2013,2360
3/31/2013,2360
4/30/2013,2350.33
5/31/2013,2350.33
6/30/2013,2350.33
7/31/2013,2293.67
8/31/2013,2293.67
9/30/2013,2293.67
10/31/2013,2370
11/30/2013,2370
12/31/2013,2370
1/31/2014,2313.67
2/28/2014,2313.67
3/31/2014,2313.67
4/30/2014,2384
5/31/2014,2384
6/30/2014,2384
7/31/2014,2352.67
8/31/2014,2352.67
9/30/2014,2352.67
10/31/2014,2418.33
11/30/2014,2418.33
12/31/2014,2418.33
1/31/2015,2317.67
2/28/2015,2317.67
3/31/2015,2317.67
4/30/2015,2484.67
5/31/2015,2484.67
6/30/2015,2484.67
7/31/2015,2415.67
8/31/2015,2415.67
9/30/2015,2415.67
10/31/2015,2539
11/30/2015,2539
12/31/2015,2539
1/31/2016,2348.67
2/29/2016,2348.67
3/31/2016,2348.67
4/30/2016,2526.67
5/31/2016,2526.67
6/30/2016,2526.67
7/31/2016,2448
8/31/2016,2448
9/30/2016,2448
10/31/2016,2605.67
11/30/2016,2605.67
12/31/2016,2605.67
1/31/2017,2383
2/28/2017,2383
3/31/2017,2383
4/30/2017,2482
5/31/2017,2482
6/30/2017,2482
7/31/2017,2572.33
8/31/2017,2572.33
9/30/2017,2572.33
10/31/2017,2474.33
11/30/2017,2474.33
12/31/2017,2474.33
1/31/2018,2476
2/28/2018,2476
3/31/2018,2476
4/30/2018,2540.33
5/31/2018,2540.33
6/30/2018,2540.33
7/31/2018,2441.33
8/31/2018,2441.33
9/30/2018,2441.33
10/31/2018,2600.33
11/30/2018,2600.33
12/31/2018,2600.33
1/31/2019,2498
2/28/2019,2498
3/31/2019,2498
4/30/2019,2550.67
5/31/2019,2550.67
6/30/2019,2550.67
7/31/2019,2502
8/31/2019,2502
9/30/2019,2502
10/31/2019,2585.33
11/30/2019,2585.33
12/31/2019,2585.33
1/31/2020,2486.67
2/29/2020,2486.67
3/31/2020,2486.67
4/30/2020,2545.67
5/31/2020,2545.67
6/30/2020,2545.67
7/31/2020,2468
8/31/2020,2468
9/30/2020,2468
10/31/2020,2621.33
11/30/2020,2621.33
12/31/2020,2621.33
